RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,COM_TWO_TY,COM_THREE_TY,COM_FOUR_TY,COM_FIVE_TY,COM_SIX_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
217788,20250303,강원도,춘천시,20241215,1박 2일,2명,친구,,,,,,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,기타/무직,모름
240062,20250303,경상남도,김해시/사천시,20241204,4박 5일,2명,연인,,,,,,놀이/테마공원-온천 등 즐기기,M,20대,미혼,미혼,판매/서비스직,300~500만원 미만
321152,20250303,전라북도,부안군,20250226,1박 2일,5명 이상,부모/형제/자녀 등 가족,,,,,,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만
335037,20250303,부산시,모름,20241213,2박 3일,5명 이상,부모/형제/자녀 등 가족,,,,,,식도락 (지역 특색/제철 음식),F,20대,미혼,미혼,사무/기술직,모름
347289,20250303,제주도,구좌읍/남원읍/대정읍/서귀포시(시내동)/성산읍/안덕면/애월읍/우도면/제주시(시내동)/추자면/표선면,20241220,6박 7일 이상,3명,부모/형제/자녀 등 가족,,,,,,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 성인(막내 대학),판매/서비스직,300만원 미만
366813,20250303,강원도,강릉시/동해시,20250201,2박 3일,2명,연인,,,,,,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,기능/숙련/일반작업직,700만원 이상
412347,20250303,부산시,모름,20250210,1박 2일,혼자서,혼자서,,,,,,휴식,M,20대,미혼,미혼,대학/대학원생,모름
419412,20250303,서울시,모름,20250217,1박 2일,2명,연인,,,,,,문화-예술 즐기기 (미술관/ 공연 등),M,20대,미혼,미혼,기타/무직,300~500만원 미만
424258,20250303,경기도,화성시,20241219,2박 3일,2명,연인,,,,,,휴식,M,20대,미혼,미혼,판매/서비스직,모름
426975,20250303,경기도,화성시,20250126,1박 2일,4명,부모/형제/자녀 등 가족,,,,,,자연 풍경 감상 (산/ 바다 등),M,20대,미혼,미혼,대학/대학원생,700만원 이상
427223,20250303,대구시,모름,20250203,4박 5일,혼자서,혼자서,,,,,,역사-유적 감상 (유적지/ 박물관 등),M,20대,미혼,미혼,자영업,300만원 미만
429282,20250303,강원도,홍천군,20241215,1박 2일,4명,부모/형제/자녀 등 가족,,,,,,놀이/테마공원-온천 등 즐기기,M,20대,미혼,미혼,대학/대학원생,500~700만원 미만
432154,20250303,강원도,강릉시,20250201,2박 3일,2명,연인,,,,,,휴식,M,20대,미혼,미혼,판매/서비스직,모름
445135,20250303,경상남도,사천시,20250208,모름,4명,부모/형제/자녀 등 가족,,,,,,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,기타/무직,모름
455801,20250303,제주도,구체적인 지역 모름,20250203,4박 5일,혼자서,혼자서,,,,,,휴식,M,20대,미혼,미혼,사무/기술직,모름
456673,20250303,경기도,포천시,20250125,1박 2일,2명,연인,,,,,,문화-예술 즐기기 (미술관/ 공연 등),F,20대,미혼,미혼,사무/기술직,300만원 미만
456994,20250303,강원도,속초시,20250207,2박 3일,모름,부모/형제/자녀 등 가족,,,,,,친지/친구/친척 만나기,M,20대,미혼,미혼,기타/무직,300~500만원 미만
458250,20250303,강원도,삼척시,20250125,1박 2일,4명,부모/형제/자녀 등 가족,친구,,,,,휴식,F,60대 이상,기타,자녀 성인(막내 대학),판매/서비스직,300~500만원 미만
458278,20250303,부산시,모름,20250201,3박 4일,4명,부모/형제/자녀 등 가족,,,,,,축제-행사 참여,M,20대,미혼,미혼,기타/무직,300만원 미만
458289,20250303,경기도,고양시,20250207,2박 3일,3명,친구,,,,,,축제-행사 참여,M,20대,미혼,미혼,사무/기술직,700만원 이상
458314,20250303,충청남도,아산시,20250220,1박 2일,모름,친구,,,,,,휴식,M,20대,미혼,미혼,기타/무직,모름
464714,20250303,충청북도,청주시,20250221,2박 3일,2명,연인,,,,,,휴식,F,20대,미혼,미혼,판매/서비스직,모름
465701,20250303,강원도,강릉시,20250224,4박 5일,3명,배우자,연인,,,,,취미-운동 활동 (등산/ 낚시/ 골프 등),M,20대,미혼,미혼,판매/서비스직,500~700만원 미만
466737,20250303,강원도,강릉시,20241228,1박 2일,5명 이상,부모/형제/자녀 등 가족,,,,,,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,대학/대학원생,700만원 이상
467042,20250303,서울시,모름,20250203,4박 5일,2명,부모/형제/자녀 등 가족,,,,,,놀이/테마공원-온천 등 즐기기,M,20대,미혼,미혼,기타/무직,모름
475037,20250303,전라북도,익산시,20250222,1박 2일,4명,배우자,부모/형제/자녀 등 가족,,,,,친지/친구/친척 만나기,M,20대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,모름
53322813,20250303,경기도,시흥시,20250125,2박 3일,2명,연인,,,,,,식도락 (지역 특색/제철 음식),M,30대,미혼,미혼,사무/기술직,모름
53322910,20250303,전라북도,진안군,20250123,6박 7일 이상,2명,배우자,,,,,,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 독립(막내 결혼),기능/숙련/일반작업직,700만원 이상
53323185,20250303,강원도,동해시/속초시,20241218,2박 3일,2명,연인,,,,,,자연 풍경 감상 (산/ 바다 등),F,20대,미혼,미혼,대학/대학원생,모름
53323407,20250303,제주도,서귀포시(시내동),20250127,5박 6일,4명,배우자,부모/형제/자녀 등 가족,,,,,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,모름
53323462,20250303,서울시,모름,20250227,1박 2일,2명,연인,,,,,,놀이/테마공원-온천 등 즐기기,M,30대,미혼,미혼,기능/숙련/일반작업직,300만원 미만
53323605,20250303,경기도,고양시,20250302,1박 2일,4명,친구,,,,,,식도락 (지역 특색/제철 음식),F,30대,미혼,미혼,사무/기술직,300~500만원 미만
53323787,20250303,서울시,모름,20250205,1박 2일,2명,연인,,,,,,휴식,M,40대,기타,신혼기(자녀 없음),자영업,모름
