RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,COM_TWO_TY,COM_THREE_TY,COM_FOUR_TY,COM_FIVE_TY,COM_SIX_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
"53361391","20250331","강원도","원주시","20250213","2박 3일","2명","배우자",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 독립(막내 결혼)","사무/기술직","500~700만원 미만"
"53361505","20250331","제주도","대정읍/서귀포시(시내동)/성산읍/애월읍/제주시(시내동)/조천읍/한림읍","20250329","2박 3일","3명","부모/형제/자녀 등 가족",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","30대","미혼","미혼","사무/기술직","300~500만원 미만"
"53361632","20250331","전라남도","강진군/장흥군","20250219","6박 7일 이상","2명","배우자",,,,,,"친지/친구/친척 만나기","F","60대 이상","기혼","자녀 성인(막내 대학)","자영업","500~700만원 미만"
"53361745","20250331","전라남도","여수시","20250323","1박 2일","3명","배우자","부모/형제/자녀 등 가족",,,,,"휴식","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
"53362273","20250331","서울시","모름","20250321","1박 2일","5명 이상",,,,,,,"취미-운동 활동 (등산/ 낚시/ 골프 등)","F","50대","미혼","미혼","경영/관리/전문직","300~500만원 미만"
"53362286","20250331","강원도","속초시","20250228","2박 3일","3명","배우자","부모/형제/자녀 등 가족",,,,,"놀이/테마공원-온천 등 즐기기","M","50대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","700만원 이상"
"53362511","20250331","강원도","고성군","20241227","2박 3일","4명","부모/형제/자녀 등 가족",,,,,,"휴식","M","50대","기혼","자녀 성인(막내 대학)","사무/기술직","300~500만원 미만"
"53362786","20250331","경상북도","칠곡군","20250104","1박 2일","5명 이상","친구",,,,,,"휴식","M","50대","기혼","자녀 성인(막내 대학)","자영업","500~700만원 미만"
"53362975","20250331","전라북도","전주시","20250126","2박 3일","5명 이상","배우자","부모/형제/자녀 등 가족","친구",,,,"식도락 (지역 특색/제철 음식)","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","기능/숙련/일반작업직","700만원 이상"
"53363023","20250331","강원도","정선군","20250215","1박 2일","2명","배우자",,,,,,"놀이/테마공원-온천 등 즐기기","F","40대","미혼","미혼","기능/숙련/일반작업직","300~500만원 미만"
"53363333","20250331","전라남도","여수시","20250301","1박 2일","2명","배우자",,,,,,"도시 경관 감상 (건축물/ 거리 등)","M","50대","기혼","자녀 성인(막내 대학)","경영/관리/전문직","700만원 이상"
"53363693","20250331","강원도","속초시/평창군/홍천군","20241202","4박 5일","4명","부모/형제/자녀 등 가족",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","50대","기혼","자녀 성인(막내 대학)","전업주부","300만원 미만"
"53363843","20250331","전라남도","여수시","20250317","4박 5일","2명","배우자",,,,,,"문화-예술 즐기기 (미술관/ 공연 등)","M","40대","기혼","신혼기(자녀 없음)","경영/관리/전문직","500~700만원 미만"
"53364027","20250331","제주도","남원읍/제주시(시내동)/표선면","20250315","2박 3일","5명 이상","친구",,,,,,"놀이/테마공원-온천 등 즐기기","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","700만원 이상"
"53364110","20250331","충청북도","제천시","20250115","2박 3일","3명","배우자","부모/형제/자녀 등 가족",,,,,"휴식","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","500~700만원 미만"
"53364482","20250331","대구시","모름","20250203","2박 3일","혼자서",,,,,,,"도시 경관 감상 (건축물/ 거리 등)","M","40대","기혼","자녀 성장(막내 중고생)","판매/서비스직","300~500만원 미만"
"53364591","20250331","강원도","속초시","20250203","1박 2일","3명","부모/형제/자녀 등 가족",,,,,,"식도락 (지역 특색/제철 음식)","M","40대","미혼","미혼","사무/기술직","300만원 미만"
"53365008","20250331","서울시","모름","20250127","5박 6일","3명","부모/형제/자녀 등 가족",,,,,,"도시 경관 감상 (건축물/ 거리 등)","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","500~700만원 미만"
"53365046","20250331","제주도","서귀포시(시내동)","20250211","3박 4일","3명","부모/형제/자녀 등 가족",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","20대","미혼","미혼","대학/대학원생","모름"
"53365212","20250331","울산시","모름","20241208","2박 3일","5명 이상","부모/형제/자녀 등 가족",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","기타/무직","300~500만원 미만"
"53365272","20250331","부산시","모름","20250125","1박 2일","2명","친구",,,,,,"취미-운동 활동 (등산/ 낚시/ 골프 등)","F","40대","미혼","미혼","사무/기술직","300만원 미만"
"53365287","20250331","제주도","구좌읍/서귀포시(시내동)/성산읍/애월읍/제주시(시내동)/한림읍","20241222","2박 3일","2명","배우자",,,,,,"식도락 (지역 특색/제철 음식)","M","60대 이상","기혼","자녀 성인(막내 대학)","기능/숙련/일반작업직","500~700만원 미만"
"53365509","20250331","충청남도","세종특별자치시","20250309","6박 7일 이상","3명","부모/형제/자녀 등 가족",,,,,,"도시 경관 감상 (건축물/ 거리 등)","M","60대 이상","기혼","자녀 성인(막내 대학)","사무/기술직","700만원 이상"
"53365585","20250331","경기도","가평군/파주시","20250319","6박 7일 이상","3명","부모/형제/자녀 등 가족",,,,,,"취미-운동 활동 (등산/ 낚시/ 골프 등)","M","60대 이상","기혼","자녀 독립(막내 결혼)","사무/기술직","300~500만원 미만"
"53366224","20250331","강원도","동해시","20241231","2박 3일","혼자서","혼자서",,,,,,"휴식","M","40대","미혼","미혼","사무/기술직","500~700만원 미만"
