RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,COM_TWO_TY,COM_THREE_TY,COM_FOUR_TY,COM_FIVE_TY,COM_SIX_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
"172192","20250310","부산시","모름","20250223","1박 2일","2명","친구",,,,,,"친지/친구/친척 만나기","M","20대","미혼","미혼","기능/숙련/일반작업직","모름"
"421251","20250310","경상북도","김천시","20250303","1박 2일","혼자서","혼자서",,,,,,"쇼핑","M","20대","미혼","미혼","대학/대학원생","모름"
"422723","20250310","경기도","파주시","20250201","2박 3일","3명","친구",,,,,,"축제-행사 참여","M","20대","미혼","미혼","대학/대학원생","모름"
"423838","20250310","경상북도","영덕군","20241219","2박 3일","3명","친구",,,,,,"문화-예술 즐기기 (미술관/ 공연 등)","M","20대","미혼","미혼","경영/관리/전문직","700만원 이상"
"424679","20250310","제주도","애월읍","20250203","2박 3일","2명","배우자",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","20대","미혼","미혼","대학/대학원생","700만원 이상"
"429783","20250310","경기도","고양시","20250114","6박 7일 이상","혼자서","혼자서",,,,,,"친지/친구/친척 만나기","M","20대","미혼","미혼","대학/대학원생","300만원 미만"
"432229","20250310","대구시","모름","20250308","2박 3일","2명","연인",,,,,,"놀이/테마공원-온천 등 즐기기","M","20대","미혼","미혼","기능/숙련/일반작업직","모름"
"436102","20250310","강원도","강릉시","20250217","2박 3일","혼자서","혼자서",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","20대","미혼","미혼","대학/대학원생","모름"
"445860","20250310","경기도","안성시","20250201","6박 7일 이상","2명","연인",,,,,,"친지/친구/친척 만나기","M","20대","미혼","미혼","대학/대학원생","모름"
"449480","20250310","대전시","모름","20250222","1박 2일","4명","친구",,,,,,"친지/친구/친척 만나기","M","20대","미혼","미혼","사무/기술직","모름"
"451730","20250310","인천시","모름","20250117","2박 3일","3명","연인","부모/형제/자녀 등 가족",,,,,"친지/친구/친척 만나기","M","20대","미혼","미혼","사무/기술직","500~700만원 미만"
"454988","20250310","대구시","모름","20250125","3박 4일","2명","연인",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","20대","미혼","미혼","판매/서비스직","300만원 미만"
"455828","20250310","울산시","모름","20250202","1박 2일","2명","부모/형제/자녀 등 가족",,,,,,"축제-행사 참여","M","20대","미혼","미혼","기능/숙련/일반작업직","모름"
"464151","20250310","서울시","모름","20250221","1박 2일","2명","친구",,,,,,"친지/친구/친척 만나기","M","20대","미혼","미혼","기타/무직","모름"
"465381","20250310","부산시","모름","20250215","1박 2일","3명","친구",,,,,,"친지/친구/친척 만나기","M","20대","미혼","미혼","대학/대학원생","모름"
"467471","20250310","부산시","모름","20250228","1박 2일","2명","부모/형제/자녀 등 가족",,,,,,"식도락 (지역 특색/제철 음식)","M","20대","미혼","미혼","대학/대학원생","모름"
"468171","20250310","대전시","모름","20250216","1박 2일","혼자서","혼자서",,,,,,"도시 경관 감상 (건축물/ 거리 등)","M","20대","미혼","미혼","대학/대학원생","모름"
"470528","20250310","강원도","강릉시","20250301","1박 2일","2명","배우자",,,,,,"휴식","M","20대","기혼","신혼기(자녀 없음)","대학/대학원생","300~500만원 미만"
"474867","20250310","서울시","모름","20250225","1박 2일","3명","배우자","연인",,,,,"휴식","M","20대","기혼","신혼기(자녀 없음)","경영/관리/전문직","700만원 이상"
"474924","20250310","울산시","모름","20241228","2박 3일","혼자서","혼자서",,,,,,"친지/친구/친척 만나기","M","20대","미혼","미혼","대학/대학원생","모름"
"475932","20250310","부산시","모름","20250117","2박 3일","혼자서","혼자서",,,,,,"식도락 (지역 특색/제철 음식)","M","20대","미혼","미혼","사무/기술직","모름"
"479279","20250310","서울시","모름","20250214","3박 4일","2명","연인",,,,,,"문화-예술 즐기기 (미술관/ 공연 등)","M","20대","미혼","미혼","대학/대학원생","모름"
"479643","20250310","강원도","삼척시","20250211","6박 7일 이상","2명","배우자",,,,,,"휴식","M","20대","미혼","미혼","기능/숙련/일반작업직","모름"
"53322198","20250310","강원도","춘천시","20250206","1박 2일","3명","직장동료",,,,,,"식도락 (지역 특색/제철 음식)","M","50대","기혼","자녀 성장(막내 중고생)","사무/기술직","500~700만원 미만"
"53322319","20250310","강원도","속초시/춘천시","20241204","모름","2명","배우자",,,,,,"식도락 (지역 특색/제철 음식)","F","50대","기혼","자녀 성인(막내 대학)","전업주부","모름"
"53322329","20250310","인천시","모름","20241210","2박 3일","2명","부모/형제/자녀 등 가족",,,,,,"식도락 (지역 특색/제철 음식)","F","50대","미혼","미혼","기타/무직","모름"
"53322377","20250310","경기도","파주시","20250125","6박 7일 이상","4명","부모/형제/자녀 등 가족",,,,,,"휴식","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","700만원 이상"
"53322890","20250310","제주도","제주시(시내동)/한림읍","20241201","2박 3일","2명","부모/형제/자녀 등 가족",,,,,,"놀이/테마공원-온천 등 즐기기","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","700만원 이상"
