RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,COM_TWO_TY,COM_THREE_TY,COM_FOUR_TY,COM_FIVE_TY,COM_SIX_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
"205112","20250317","울산시","모름","20250207","3박 4일","2명","부모/형제/자녀 등 가족",,,,,,"친지/친구/친척 만나기","F","60대 이상","기혼","자녀 성장(막내 중고생)","전업주부","500~700만원 미만"
"240331","20250317","경상남도","거제시/통영시","20250206","3박 4일","2명","배우자",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 독립(막내 결혼)","기타/무직","700만원 이상"
"254601","20250317","전라북도","익산시/임실군/전주시","20250308","1박 2일","4명","부모/형제/자녀 등 가족",,,,,,"친지/친구/친척 만나기","F","60대 이상","기혼","자녀 성인(막내 대학)","기능/숙련/일반작업직","300~500만원 미만"
"307124","20250317","강원도","속초시","20250217","1박 2일","3명","부모/형제/자녀 등 가족",,,,,,"휴식","F","20대","미혼","미혼","판매/서비스직","700만원 이상"
"333925","20250317","전라북도","군산시","20250308","1박 2일","2명","배우자",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 성장(막내 중고생)","경영/관리/전문직","700만원 이상"
"347663","20250317","강원도","동해시/인제군","20250210","2박 3일","3명","배우자","부모/형제/자녀 등 가족",,,,,"식도락 (지역 특색/제철 음식)","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","300만원 미만"
"359632","20250317","경기도","광명시","20250225","3박 4일","3명","부모/형제/자녀 등 가족",,,,,,"도시 경관 감상 (건축물/ 거리 등)","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","500~700만원 미만"
"380169","20250317","강원도","속초시","20250101","1박 2일","2명","연인",,,,,,"휴식","F","20대","미혼","미혼","사무/기술직","700만원 이상"
"401818","20250317","강원도","속초시","20250315","1박 2일","2명","배우자",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","20대","기혼","신혼기(자녀 없음)","사무/기술직","500~700만원 미만"
"412035","20250317","강원도","태백시","20250203","6박 7일 이상","3명","부모/형제/자녀 등 가족",,,,,,"축제-행사 참여","M","20대","미혼","미혼","대학/대학원생","모름"
"417866","20250317","경상남도","진주시","20250210","3박 4일","2명","배우자",,,,,,"역사-유적 감상 (유적지/ 박물관 등)","M","20대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
"423985","20250317","강원도","강릉시","20250206","6박 7일 이상","혼자서",,,,,,,"문화-예술 즐기기 (미술관/ 공연 등)","M","20대","미혼","미혼","대학/대학원생","500~700만원 미만"
