RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,COM_TWO_TY,COM_THREE_TY,COM_FOUR_TY,COM_FIVE_TY,COM_SIX_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
"128136","20250324","충청남도","태안군","20250301","2박 3일","5명 이상","부모/형제/자녀 등 가족",,,,,,"휴식","M","50대","기혼","자녀 성장(막내 중고생)","기능/숙련/일반작업직","500~700만원 미만"
"277390","20250324","울산시","모름","20250129","2박 3일","2명","연인",,,,,,"역사-유적 감상 (유적지/ 박물관 등)","M","30대","기혼","신혼기(자녀 없음)","기타/무직","300~500만원 미만"
"302165","20250324","전라남도","보성군","20250201","1박 2일","혼자서","혼자서",,,,,,"도시 경관 감상 (건축물/ 거리 등)","M","30대","미혼","미혼","기타/무직","모름"
"314090","20250324","서울시","모름","20250125","1박 2일","3명","부모/형제/자녀 등 가족",,,,,,"친지/친구/친척 만나기","F","60대 이상","기혼","자녀 성장(막내 중고생)","사무/기술직","500~700만원 미만"
"316354","20250324","강원도","강릉시","20250324","2박 3일","2명","친구",,,,,,"휴식","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","300~500만원 미만"
"332640","20250324","강원도","인제군","20250125","1박 2일","2명","친구",,,,,,"취미-운동 활동 (등산/ 낚시/ 골프 등)","F","50대","기혼","자녀 성장(막내 중고생)","사무/기술직","500~700만원 미만"
"34334","20250324","강원도","강릉시/속초시/양양군","20250110","3박 4일","5명 이상","배우자","부모/형제/자녀 등 가족",,,,,"식도락 (지역 특색/제철 음식)","F","60대 이상","기혼","자녀 유아&성장(막내 입학전~초등생)","전업주부","700만원 이상"
"345971","20250324","부산시","모름","20250215","1박 2일","2명","배우자",,,,,,"휴식","F","60대 이상","기혼","자녀 성장(막내 중고생)","전업주부","700만원 이상"
"370130","20250324","강원도","삼척시","20250212","3박 4일","2명","연인",,,,,,"쇼핑","M","20대","미혼","미혼","자영업","모름"
"380929","20250324","경상남도","하동군","20250228","1박 2일","혼자서","혼자서",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","30대","미혼","미혼","사무/기술직","300만원 미만"
"384959","20250324","경상남도","거제시","20250225","1박 2일","5명 이상","친구",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 성장(막내 중고생)","기타/무직","700만원 이상"
"385477","20250324","경상남도","진주시","20250326","1박 2일","2명","배우자",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","60대 이상","기혼","신혼기(자녀 없음)","사무/기술직","모름"
"386763","20250324","경상남도","사천시","20250215","1박 2일","3명","부모/형제/자녀 등 가족",,,,,,"놀이/테마공원-온천 등 즐기기","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","기능/숙련/일반작업직","300~500만원 미만"
"388959","20250324","전라북도","전주시","20250215","1박 2일","2명","친구",,,,,,"휴식","F","60대 이상","미혼","미혼","기능/숙련/일반작업직","300만원 미만"
"396749","20250324","서울시","모름","20250213","1박 2일","3명","배우자","부모/형제/자녀 등 가족",,,,,"휴식","M","20대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","700만원 이상"
"400680","20250324","경상북도","김천시","20241218","6박 7일 이상","2명","부모/형제/자녀 등 가족",,,,,,"쇼핑","M","30대","기혼","자녀 성장(막내 중고생)","기타/무직","500~700만원 미만"
"404412","20250324","제주도","서귀포시(시내동)","20250125","1박 2일","3명","부모/형제/자녀 등 가족",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 성장(막내 중고생)","사무/기술직","300~500만원 미만"
"406786","20250324","제주도","구체적인 지역 모름","20250222","4박 5일","4명","직장동료",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","700만원 이상"
"410991","20250324","경기도","화성시","20241214","1박 2일","5명 이상","직장동료",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","20대","미혼","미혼","기능/숙련/일반작업직","모름"
"420159","20250324","경상북도","안동시/예천군","20250217","1박 2일","4명","부모/형제/자녀 등 가족",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기타","자녀 성인(막내 대학)","자영업","700만원 이상"
"421795","20250324","전라남도","여수시","20241211","3박 4일","4명","부모/형제/자녀 등 가족",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 성장(막내 중고생)","전업주부","700만원 이상"
"422816","20250324","전라북도","군산시","20241227","3박 4일","3명","배우자","연인",,,,,"자연 풍경 감상 (산/ 바다 등)","M","20대","미혼","미혼","기능/숙련/일반작업직","700만원 이상"
"424558","20250324","경상북도","영덕군/울진군","20250212","2박 3일","2명","연인",,,,,,"휴식","F","20대","미혼","미혼","사무/기술직","모름"
"428094","20250324","강원도","속초시","20250205","5박 6일","혼자서","혼자서",,,,,,"도시 경관 감상 (건축물/ 거리 등)","M","20대","미혼","미혼","기타/무직","모름"
"428582","20250324","강원도","강릉시","20241209","4박 5일","혼자서","혼자서",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","20대","미혼","미혼","대학/대학원생","모름"
"431523","20250324","대전시","모름","20250227","1박 2일","2명","배우자",,,,,,"친지/친구/친척 만나기","M","20대","기혼","신혼기(자녀 없음)","기타/무직","700만원 이상"
"432785","20250324","강원도","속초시/양양군","20250218","1박 2일","4명","부모/형제/자녀 등 가족",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","20대","미혼","미혼","기타/무직","모름"
"437748","20250324","충청남도","계룡시","20250221","3박 4일","2명","배우자",,,,,,"식도락 (지역 특색/제철 음식)","M","20대","기혼","신혼기(자녀 없음)","경영/관리/전문직","500~700만원 미만"
