"RESPOND_ID","EXAMIN_BEGIN_DE","TOUR_CTPRVN_NM","TOUR_SIGNGU_NM","TOUR_BEGIN_DE","TOUR_PD_VALUE","TOUR_COM_NMPR_NM","COM_ONE_TY","COM_TWO_TY","COM_THREE_TY","COM_FOUR_TY","COM_FIVE_TY","COM_SIX_TY","TOUR_PURPS_NM","SEXDSTN_FLAG_CD","AGRDE_FLAG_NM","MRRG_AT_NM","CHLDRN_TY_NM","OCCP_NM","HSHLD_INCOME_DGREE_NM"
53343749,20250317,"강원도","삼척시",20250227,"1박 2일","5명 이상","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","모름"
53344119,20250317,"경기도","양평군",20250208,"1박 2일","4명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","전업주부","300~500만원 미만"
53344363,20250317,"전라남도","순천시",20250218,"1박 2일","2명","배우자",NA,NA,NA,NA,NA,"역사-유적 감상 (유적지/ 박물관 등)","M","60대 이상","기혼","자녀 성인(막내 대학)","경영/관리/전문직","모름"
53344790,20250317,"강원도","강릉시/속초시/양양군",20250224,"2박 3일","5명 이상","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"휴식","M","50대","기혼","자녀 유아&성장(막내 입학전~초등생)","기능/숙련/일반작업직","300~500만원 미만"
53344811,20250317,"제주도","구좌읍/남원읍/서귀포시(시내동)/성산읍/안덕면/애월읍/우도면/제주시(시내동)/조천읍/한림읍",20241225,"모름","2명","친구",NA,NA,NA,NA,NA,"역사-유적 감상 (유적지/ 박물관 등)","F","20대","미혼","미혼","대학/대학원생","모름"
53344956,20250317,"강원도","춘천시",20250226,"1박 2일","2명","연인",NA,NA,NA,NA,NA,"휴식","F","20대","미혼","미혼","대학/대학원생","모름"
53345308,20250317,"서울시","모름",20250211,"1박 2일","2명","연인",NA,NA,NA,NA,NA,"휴식","F","20대","미혼","미혼","기타/무직","모름"
53345432,20250317,"충청북도","청주시/충주시(구 청원군 포함)",20250207,"1박 2일","혼자서","혼자서",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","판매/서비스직","500~700만원 미만"
53345510,20250317,"충청남도","예산군",20250215,"2박 3일","3명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"놀이/테마공원-온천 등 즐기기","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","700만원 이상"
53345835,20250317,"강원도","속초시",20250120,"1박 2일","3명","직장동료",NA,NA,NA,NA,NA,"휴식","F","50대","기타","자녀 성인(막내 대학)","사무/기술직","300~500만원 미만"
53345997,20250317,"경상남도","고성군/김해시/밀양시/통영시",20250210,"4박 5일","2명","배우자",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","M","60대 이상","기혼","자녀 독립(막내 결혼)","기타/무직","300만원 미만"
53346351,20250317,"부산시","모름",20241218,"3박 4일","2명","배우자",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","60대 이상","기혼","자녀 성인(막내 대학)","기타/무직","700만원 이상"
53346546,20250317,"경기도","여주시",20250222,"1박 2일","3명","친구",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","30대","미혼","미혼","판매/서비스직","300만원 미만"
53346825,20250317,"대구시","모름",20250315,"1박 2일","3명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","50대","기혼","자녀 유아&성장(막내 입학전~초등생)","기능/숙련/일반작업직","700만원 이상"
53347067,20250317,"전라남도","목포시",20250313,"1박 2일","3명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","60대 이상","기혼","자녀 성인(막내 대학)","사무/기술직","300~500만원 미만"
53347517,20250317,"경기도","구리시",20250206,"1박 2일","2명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"역사-유적 감상 (유적지/ 박물관 등)","F","30대","미혼","미혼","판매/서비스직","300만원 미만"
53347659,20250317,"경상남도","남해군",20250210,"1박 2일","2명","배우자",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","M","40대","기혼","자녀 성장(막내 중고생)","자영업","700만원 이상"
53347909,20250317,"강원도","양양군",20250226,"1박 2일","4명","배우자","친구",NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","500~700만원 미만"
53347958,20250317,"경상남도","거제시",20250308,"2박 3일","2명","배우자",NA,NA,NA,NA,NA,"휴식","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","500~700만원 미만"
53348381,20250317,"충청북도","제천시",20241228,"2박 3일","3명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"휴식","F","40대","미혼","미혼","사무/기술직","300만원 미만"
53348681,20250317,"대전시","모름",20250222,"1박 2일","2명","배우자",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","50대","기혼","자녀 성인(막내 대학)","사무/기술직","700만원 이상"
53348712,20250317,"경상남도","통영시",20241202,"4박 5일","5명 이상","친구",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","M","40대","기혼","신혼기(자녀 없음)","자영업","300만원 미만"
53348719,20250317,"강원도","속초시",20250202,"1박 2일","4명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","60대 이상","기혼","자녀 성인(막내 대학)","사무/기술직","300~500만원 미만"
53348801,20250317,"강원도","속초시",20250201,"2박 3일","3명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"휴식","F","60대 이상","기혼","자녀 성인(막내 대학)","기타/무직","모름"
53349102,20250317,"제주도","서귀포시(시내동)/애월읍/우도면/제주시(시내동)",20250208,"3박 4일","2명","연인",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","M","30대","미혼","미혼","자영업","모름"
53349168,20250317,"경상북도","문경시",20250204,"1박 2일","2명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","M","30대","미혼","미혼","자영업","300~500만원 미만"
53349339,20250317,"강원도","고성군",20250117,"5박 6일","4명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","700만원 이상"
53349342,20250317,"경기도","용인시",20250226,"1박 2일","3명","친구",NA,NA,NA,NA,NA,"쇼핑","F","20대","미혼","미혼","기타/무직","500~700만원 미만"
53349366,20250317,"경상북도","영천시",20250208,"1박 2일","4명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"휴식","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","전업주부","500~700만원 미만"
53349371,20250317,"강원도","강릉시",20241223,"2박 3일","4명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","F","50대","미혼","미혼","판매/서비스직","300만원 미만"
53349660,20250317,"전라북도","전주시",20241220,"1박 2일","2명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","F","50대","기타","자녀 성인(막내 대학)","판매/서비스직","300만원 미만"
53349835,20250317,"전라북도","익산시",20250125,"2박 3일","모름","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","F","40대","기혼","자녀 성장(막내 중고생)","자영업","700만원 이상"
53349859,20250317,"경상북도","상주시",20250203,"1박 2일","혼자서","혼자서",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","50대","기혼","자녀 성인(막내 대학)","판매/서비스직","모름"
53349881,20250317,"경기도","남양주시",20250303,"1박 2일","4명","친구",NA,NA,NA,NA,NA,"휴식","F","60대 이상","기혼","자녀 독립(막내 결혼)","전업주부","300~500만원 미만"
53349973,20250317,"강원도","평창군",20250115,"2박 3일","3명","직장동료",NA,NA,NA,NA,NA,"휴식","F","50대","기타","신혼기(자녀 없음)","사무/기술직","700만원 이상"
53350454,20250317,"부산시","모름",20250309,"3박 4일","2명","배우자",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","40대","기혼","신혼기(자녀 없음)","전업주부","300~500만원 미만"
53350867,20250317,"경기도","가평군/양평군/연천군/포천시",20250213,"1박 2일","혼자서","혼자서",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","M","30대","미혼","미혼","기타/무직","300만원 미만"
53351000,20250317,"경상북도","포항시",20250214,"1박 2일","혼자서","혼자서",NA,NA,NA,NA,NA,"축제-행사 참여","M","30대","미혼","미혼","사무/기술직","300만원 미만"
53351023,20250317,"부산시","모름",20250215,"2박 3일","5명 이상","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"휴식","F","20대","미혼","미혼","대학/대학원생","모름"
53351080,20250317,"강원도","강릉시/속초시",20250130,"2박 3일","3명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","700만원 이상"
53351210,20250317,"경상남도","밀양시",20250222,"1박 2일","2명","배우자",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","30대","기혼","신혼기(자녀 없음)","사무/기술직","모름"
53351493,20250317,"경상북도","안동시",20250202,"모름","3명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"휴식","M","50대","기혼","자녀 성장(막내 중고생)","기능/숙련/일반작업직","500~700만원 미만"
53351588,20250317,"경상남도","통영시",20250201,"1박 2일","2명","배우자",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","50대","기혼","자녀 성인(막내 대학)","사무/기술직","모름"
53351642,20250317,"경기도","부천시",20250127,"4박 5일","2명","배우자",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","F","60대 이상","기혼","자녀 독립(막내 결혼)","기타/무직","500~700만원 미만"
53351905,20250317,"대전시","모름",20241230,"1박 2일","2명","친구",NA,NA,NA,NA,NA,"쇼핑","F","30대","미혼","미혼","사무/기술직","모름"
53352550,20250317,"충청북도","충주시(구 청원군 포함)",20250116,"1박 2일","5명 이상","직장동료",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","30대","미혼","미혼","기타/무직","300~500만원 미만"
53352568,20250317,"인천시","모름",20250223,"1박 2일","2명","배우자",NA,NA,NA,NA,NA,"휴식","F","60대 이상","기혼","자녀 독립(막내 결혼)","전업주부","300~500만원 미만"
53352620,20250317,"인천시","모름",20250214,"1박 2일","모름","친구",NA,NA,NA,NA,NA,"휴식","M","60대 이상","기혼","자녀 독립(막내 결혼)","자영업","500~700만원 미만"
53352950,20250317,"강원도","원주시",20250208,"1박 2일","4명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"휴식","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","모름"
53353681,20250317,"충청남도","홍성군",20250125,"1박 2일","2명","연인",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","30대","미혼","미혼","기능/숙련/일반작업직","300~500만원 미만"
53354005,20250317,"경상북도","안동시",20250301,"2박 3일","4명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"휴식","F","40대","기혼","자녀 성장(막내 중고생)","기타/무직","500~700만원 미만"
